27,1,27,27,1,1.0,1.0,27.0,1.0,1.0,1.0,27.0,1.0,12.0,1.0,27.0,29.0,1.0,29.0,1.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,29,8,8,18,4.0,1.0,29.0,29.0,1.0,18.0,1.0,27.0,1.0,8.0,29.0,29.0,29.0,8.0,18.0,18.0,29.0,27.0,18.0,18.0,29.0,18.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,11,25,3,11,3.0,13.0,10.0,10.0,11.0,26.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,10,8,1,29.0,8.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,24,11,7,11,4.0,10.0,7.0,20.0,3.0,7.0,3.0,0.0,4.0,5.0,3.0,15.0,25.0,15.0,7.0,10.0,4.0,26.0,10.0,15.0,7.0,10.0,10.0,10.0,23.0,4.0,25.0,4.0,15.0,15.0,23.0,6.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,16,16,11,16.0,16.0,16.0,11.0,8.0,11.0,11.0,25.0,16.0,3.0,7.0,7.0,7.0,0.0,7.0,7.0,26.0,16.0,28.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,20,1,1,1.0,1.0,20.0,20.0,29.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11,16,3,0,7.0,7.0,3.0,11.0,11.0,3.0,11.0,11.0,11.0,26.0,26.0,7.0,16.0,16.0,0.0,7.0,11.0,11.0,11.0,16.0,26.0,11.0,11.0,7.0,26.0,7.0,11.0,7.0,8.0,10.0,10.0,11.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,1,29,1,1.0,14.0,18.0,29.0,29.0,29.0,27.0,1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,23,23,10.0,10.0,10.0,10.0,10.0,4.0,4.0,11.0,11.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,22,1,13,20,1.0,21.0,20.0,27.0,27.0,27.0,29.0,1.0,18.0,7.0,20.0,8.0,11.0,1.0,12.0,8.0,8.0,29.0,1.0,1.0,13.0,20.0,20.0,1.0,1.0,1.0,1.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,16,10,10,10.0,3.0,11.0,3.0,11.0,10.0,16.0,16.0,10.0,10.0,10.0,3.0,11.0,7.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,28,3,25,16,7.0,23.0,13.0,17.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,0,7,11,10.0,3.0,16.0,7.0,10.0,16.0,10.0,17.0,8.0,8.0,16.0,11.0,11.0,11.0,7.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,27,29,27,26,1.0,14.0,8.0,1.0,12.0,8.0,8.0,27.0,18.0,29.0,18.0,27.0,27.0,27.0,29.0,27.0,18.0,18.0,29.0,1.0,29.0,1.0,27.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12,12,1,1,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,9,22,15,5.0,4.0,23.0,7.0,27.0,7.0,4.0,5.0,25.0,24.0,7.0,12.0,27.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,8,8,13,8.0,13.0,13.0,13.0,11.0,8.0,3.0,13.0,11.0,13.0,13.0,13.0,13.0,4.0,18.0,2.0,7.0,3.0,13.0,10.0,10.0,13.0,3.0,16.0,11.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
